
Date,TemperatureHighF,TemperatureAvgF,TemperatureLowF,DewpointHighF,DewpointAvgF,DewpointLowF,HumidityHigh,HumidityAvg,HumidityLow,PressureMaxIn,PressureMinIn,WindSpeedMaxMPH,WindSpeedAvgMPH,GustSpeedMaxMPH,PrecipitationSumIn<br>
2015-6-1,61.9,57.4,52.2,61.3,57.0,51.6,99,98,94,30.54,30.45,10,2,15,0.83
<br>
2015-6-2,54.1,52.2,50.0,53.4,51.7,49.8,99,98,93,30.57,30.46,11,2,15,0.58
<br>
2015-6-3,67.6,58.0,52.7,56.1,52.1,48.6,98,82,56,30.64,30.55,8,1,10,0.00
<br>
2015-6-4,64.9,58.0,54.7,53.1,50.5,46.8,89,77,58,30.68,30.58,10,1,12,0.00
<br>
2015-6-5,67.8,60.0,55.4,58.5,54.1,48.4,99,81,67,30.59,30.31,7,1,10,0.01
<br>
2015-6-6,76.1,67.6,58.3,66.0,54.0,25.2,99,68,17,30.48,30.24,14,2,20,0.02
<br>
2015-6-7,72.3,63.5,54.3,58.5,52.6,41.5,99,70,44,30.60,30.47,7,1,15,0.00
<br>
2015-6-8,78.4,69.0,60.4,69.4,61.9,55.4,96,79,59,30.52,30.16,16,1,20,0.15
<br>
2015-6-9,86.2,74.7,66.9,73.4,64.7,56.5,99,74,40,30.20,30.02,14,2,18,0.00
<br>
2015-6-10,80.1,74.3,61.7,66.0,61.1,56.7,91,64,48,30.30,30.17,8,1,12,0.00
<br>
2015-6-11,92.3,81.3,69.3,72.5,67.0,61.7,84,63,44,30.33,30.23,12,2,18,0.00
<br>
2015-6-12,87.1,80.8,74.3,73.2,68.6,60.3,85,67,46,30.38,30.21,7,1,12,0.00
<br>
2015-6-13,86.4,79.4,68.9,73.0,62.1,43.3,87,58,25,30.42,30.18,13,2,18,0.00
<br>
2015-6-14,84.9,75.7,65.8,67.5,64.1,56.7,99,69,46,30.48,30.39,8,0,12,0.19
<br>
2015-6-15,82.9,70.7,65.1,76.3,68.8,63.7,99,94,74,30.44,30.28,7,1,10,1.10
<br>
2015-6-16,75.2,69.4,65.3,73.6,66.6,62.2,98,91,71,30.36,30.20,8,1,10,0.17
<br>
2015-6-17,79.7,72.1,65.7,64.6,62.2,56.5,93,72,47,30.54,30.34,10,1,12,0.00
<br>
